iter	Passed	Remaining
0	135	135729
1	136	68168
2	137	45641
3	138	34366
4	138	27603
5	139	23086
6	140	19866
7	140	17446
8	141	15563
9	141	14056
10	142	12828
11	143	11807
12	144	10939
13	144	10195
14	145	9550
15	146	8983
16	146	8484
17	147	8039
18	147	7641
19	148	7293
20	149	6973
21	150	6688
22	151	6424
23	152	6184
24	152	5959
25	153	5749
26	154	5556
27	154	5376
28	155	5208
29	156	5053
30	156	4907
31	157	4769
32	158	4640
33	159	4519
34	159	4404
35	160	4295
36	161	4192
37	161	4094
38	162	4001
39	163	3916
40	163	3831
41	164	3752
42	165	3675
43	165	3602
44	166	3532
45	167	3465
46	167	3401
47	168	3340
48	169	3280
49	169	3223
50	170	3169
51	170	3117
52	171	3066
53	172	3017
54	172	2971
55	173	2927
56	174	2885
57	175	2844
58	175	2804
59	176	2764
60	177	2730
61	178	2694
62	178	2661
63	179	2628
64	180	2595
65	181	2564
66	181	2534
67	182	2500
68	183	2472
69	183	2443
70	184	2415
71	185	2387
72	185	2361
73	186	2336
74	187	2311
75	188	2286
76	188	2262
77	189	2238
78	189	2214
79	190	2192
80	191	2171
81	191	2149
82	192	2128
83	193	2107
84	193	2085
85	194	2065
86	194	2044
87	195	2026
88	196	2009
89	196	1991
90	197	1974
91	198	1957
92	199	1940
93	199	1924
94	200	1908
95	200	1891
96	201	1876
97	202	1860
98	202	1845
99	203	1830
100	204	1816
101	204	1799
102	205	1792
103	206	1780
104	207	1768
105	208	1755
106	208	1742
107	209	1730
108	210	1718
109	210	1705
110	211	1693
111	212	1681
112	212	1669
113	213	1657
114	213	1646
115	214	1634
116	215	1623
117	215	1613
118	216	1601
119	216	1590
120	217	1580
121	218	1570
122	218	1557
123	219	1547
124	219	1538
125	220	1530
126	221	1521
127	221	1510
128	222	1501
129	222	1492
130	223	1483
131	224	1474
132	224	1466
133	225	1457
134	226	1449
135	226	1440
136	227	1433
137	228	1424
138	228	1417
139	229	1410
140	230	1402
141	230	1395
142	231	1387
143	232	1379
144	232	1372
145	233	1365
146	234	1358
147	234	1351
148	235	1344
149	236	1338
150	236	1332
151	237	1325
152	238	1319
153	238	1312
154	239	1306
155	240	1300
156	240	1293
157	241	1287
158	242	1281
159	243	1275
160	243	1270
161	244	1264
162	245	1260
163	246	1254
164	246	1249
165	247	1243
166	248	1238
167	248	1232
168	249	1227
169	250	1222
170	250	1216
171	251	1211
172	252	1205
173	252	1200
174	253	1195
175	254	1190
176	254	1185
177	255	1180
178	256	1175
179	256	1169
180	257	1163
181	257	1159
182	258	1154
183	259	1149
184	259	1145
185	260	1140
186	261	1136
187	262	1132
188	262	1127
189	263	1123
190	264	1118
191	264	1114
192	265	1109
193	266	1105
194	266	1100
195	267	1096
196	267	1092
197	268	1088
198	269	1084
199	270	1080
200	270	1076
201	271	1072
202	272	1068
203	272	1064
204	273	1060
205	274	1056
206	274	1052
207	275	1048
208	276	1044
209	276	1040
210	277	1036
211	277	1033
212	278	1029
213	279	1025
214	279	1021
215	280	1017
216	281	1014
217	281	1010
218	282	1006
219	282	1003
220	283	999
221	284	995
222	284	992
223	285	988
224	286	985
225	286	982
226	287	979
227	288	976
228	288	972
229	289	969
230	290	966
231	290	962
232	291	959
233	292	956
234	292	953
235	293	949
236	294	946
237	294	943
238	295	940
239	295	937
240	296	933
241	297	930
242	297	927
243	298	924
244	299	921
245	299	919
246	300	916
247	301	913
248	301	910
249	302	907
250	303	904
251	303	901
252	304	898
253	305	895
254	305	893
255	306	890
256	306	887
257	307	884
258	308	881
259	308	879
260	309	876
261	310	873
262	310	870
263	311	867
264	311	865
265	312	862
266	313	859
267	313	857
268	314	854
269	315	852
270	315	849
271	316	847
272	317	844
273	317	841
274	318	839
275	319	836
276	319	834
277	320	831
278	320	829
279	321	826
280	322	824
281	322	821
282	323	819
283	324	817
284	324	814
285	325	812
286	325	809
287	326	807
288	327	804
289	327	802
290	328	800
291	329	798
292	330	796
293	330	794
294	331	792
295	332	790
296	332	787
297	333	785
298	334	783
299	334	781
300	335	778
301	336	776
302	336	774
303	337	772
304	337	769
305	338	767
306	339	765
307	339	763
308	340	761
309	341	759
310	341	756
311	342	754
312	343	752
313	343	750
314	344	748
315	345	747
316	345	745
317	346	742
318	347	740
319	347	738
320	348	736
321	348	734
322	349	732
323	350	730
324	350	728
325	351	727
326	352	725
327	352	723
328	353	721
329	354	719
330	354	717
331	355	715
332	356	713
333	356	711
334	357	709
335	358	707
336	358	705
337	359	704
338	360	702
339	360	700
340	361	698
341	362	696
342	362	694
343	363	693
