iter	Passed	Remaining
0	0	966
1	1	906
2	2	850
3	3	849
4	4	831
5	4	798
6	5	771
7	6	791
8	7	779
9	7	773
10	9	816
11	10	840
12	11	855
13	12	864
14	13	869
15	14	883
16	15	871
17	15	858
18	16	845
19	17	835
20	18	848
21	19	848
22	19	840
23	20	832
24	21	825
25	21	818
26	22	811
27	23	806
28	23	799
29	24	795
30	25	792
31	26	798
32	27	810
33	28	812
34	29	811
35	30	807
36	30	803
37	31	800
38	32	804
39	33	802
40	34	798
41	34	793
42	35	789
43	36	785
44	37	785
45	37	782
46	38	779
47	39	776
48	39	773
49	40	771
50	41	773
51	42	772
52	43	771
53	43	769
54	44	767
55	45	764
56	46	767
57	47	770
58	48	767
59	48	763
60	49	760
61	50	757
62	50	756
63	51	756
64	53	765
65	54	767
66	55	768
67	56	768
68	56	766
69	57	763
70	58	763
71	59	763
72	59	760
73	60	758
74	61	755
75	61	752
76	62	749
77	63	748
78	64	746
79	64	743
80	65	741
81	66	740
82	66	736
83	67	740
84	68	740
85	69	743
86	70	744
87	71	742
88	72	741
89	73	740
90	74	740
91	74	739
92	75	738
93	76	736
94	77	735
95	77	733
96	79	735
97	79	735
98	80	733
99	81	735
100	82	734
101	84	740
102	85	740
103	86	741
104	86	740
105	87	739
106	88	739
107	89	738
108	90	736
109	90	734
110	91	731
111	92	730
112	92	727
113	93	726
114	94	725
115	95	724
116	95	722
117	96	722
118	97	724
119	98	724
120	99	723
121	100	723
122	101	722
123	101	720
124	102	719
125	103	719
126	104	716
127	104	714
128	105	713
129	106	712
130	107	710
131	107	709
132	108	708
133	109	706
134	110	704
135	111	705
136	112	707
137	113	707
138	114	707
139	115	706
140	115	705
141	116	702
142	116	700
143	117	699
144	118	698
145	119	697
146	119	696
147	120	694
148	121	692
149	122	691
150	122	689
151	123	688
152	124	687
153	124	686
154	125	684
155	126	686
156	128	687
157	129	687
158	130	687
159	131	689
160	131	687
161	133	688
162	133	688
163	134	686
164	135	684
165	136	683
166	136	681
167	137	680
168	138	680
169	139	679
170	139	677
171	140	676
172	141	675
173	142	676
174	143	676
175	144	677
176	145	676
177	146	674
178	146	673
179	147	672
180	148	672
181	149	671
182	150	670
183	150	669
184	151	667
185	152	666
186	152	665
187	153	663
188	154	662
189	155	661
190	155	660
191	156	658
192	157	659
193	158	658
194	159	656
195	159	655
196	160	653
197	161	652
198	161	651
199	162	650
200	163	648
201	164	648
202	164	646
203	165	645
204	166	644
205	166	643
206	167	641
207	168	640
208	168	639
209	169	638
210	170	638
211	171	638
212	172	637
213	173	635
214	173	634
215	174	633
216	175	632
217	176	631
218	176	630
219	177	628
220	178	627
221	178	626
222	179	625
223	180	624
224	180	622
225	181	621
226	182	620
